section;entree;nature;sous_entree;traduction_ewe
A;amener,;vt;;tso nu ve, kplo ame ve
A;aménité;f;;nyonyô, nudzedze
A;ameublement;m;;homenuwo
A;ameuter;vt;;kpla avû do
A;ami»;m;;hô, holô, holôvi, hati, havi. E
A;amidon;m;;goma, statsi
A;amidonner;vt;;de goma awu
A;amincir;vt;;wo nu îlagbê, îlaflê, le
A;amiral;m;;a\vawumeîia
A;amission;f;;bubu, gbegblê, nububu
A;amitié;f;;lolô, holôwowo, holôdzedze
A;amnistie;f;;tsotsoke, amenuveve
A;amnistier;vt;;tso ke ame, ve ame nu
A;amoindrier;vt;;de nui le nu dzi
A;amollir;vt;;wo nu boboe, de nu tsi
A;amonceler;vt;;li ko nu, bo nu, fo nu îu
A;;;de l'herbe;li gbe ko, li ko gbe
A;amoncellement;m;;kolili
A;amorcer;vt;;ble ame nu, do glae
A;amortir;vt;;tsi nu, zi nu dzi
A;;;une dette;he îe, vo îe
A;amortissement;m;;nutsitsi, fehehe
A;amour;m;;lolô
A;amplifier;vt;;ke nu de dzi, lolo de nu
A;amputer;vt;;tso ame îe nutilâ îe akpa ade
A;amusement;m;;plasiwowo, agbedudu, plasi
A;amuser;vt;;do vivi na ame, îe
A;s'amuser;v;;du agbe, dzo dzi, du plasi, îe
A;amygdale,;f;;kokui
A;an;m;;îe (gleti 12)
A;ananas;m;;atoto, blaîogbui, anazi
A;analyser;vt;;de nu gome, de nu siwo îoîu wo nu (nya) deka la fia deka deka
A;anathème;m;;amededehame îe îiîode
A;anciennement;adv;;tsâ, hohotsâ
A;ancrer;vt;;da seké
A;;;son esprit à;ka de nu dzi
A;âne;m;;tedzi
A;anéantir;vt;;tsrô nu, gblê nu
A;anéantissement;m;;tsotsyrô, gbegblê
A;ange;m;;Mawudola
A;;;gardien;dzikpodola
A;angle;m;;dzogoe. Angleterre f enlistowode, England, Enlisi'nyigba*
A;anglicanisme;m;;Enlistowo îe kristohame
A;animal;m;;là, nu gbagbe
A;;;domestique;aîemelâ
A;;;de;la brousse gbemelâ
A;;;sauvage;la woadâ
A;;;quatrupède;la 'fonee
A;;;herbivore;la dugbe
A;;;carnivore;là duvvulâ
A;animé;m;;Wavvâ, dzonudzonu
A;animer;vt;;de v^awâ, de dzo ame me
A;anis;m;;sikoni, pepri, ahaliwoe
A;anneau;m;;ga, ge (asige, aîoge)
A;annexer;vt;;kpe nu de nu nu
A;annihiler;vt;;tsyrô nu, gblê nu
